OML UID,Entity / Source,Survey Type,Status,Assignee,Neighborhood,Zone,Lat,Long
BC1,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.90115738,35.530056
BC2,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.882103,35.512276
BC3,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8999939,35.52741241
BC4,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.890713,35.506073
BC5,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.889984,35.504059
BC6,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.888412,35.501099
BC7,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.89717102,35.53435516
BC8,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8935483,35.5193856
BC9,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8964,35.528748
BC10,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.89360809,35.54669189
BC11,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.893294,35.545434
BC12,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.897236,35.533894
BC13,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.891846,35.535995
BC14,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.897287,35.52449
BC15,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.895378,35.527897
BC16,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8944158,35.5132296
BC17,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8944158,35.5132296
BC18,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8944158,35.5132296
BC19,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.892549,35.547233
BC20,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.8974,35.525083
BC21,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.893432,35.541418
BC22,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.895907,35.523326
BC23,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.885972,35.524558
BC24,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.897312,35.526554
BC25,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.89810562,35.5266571
BC26,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.90037537,35.53350449
BC27,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.893291,35.530422
BC28,Basecamp,"Basic Assistance, Shelter,, Livelihood, Household",Unknown,,,,33.89595,35.526791
