OML UID,Entity / Source,Survey Type,Assignee,Zone,Supplier UID,Lat,Long,Status,BwS Status,Parcel (3ekar),Address,Neighborhood,Assignee
BwS1,Beb w Shebek,Shelter,,,AC-01,33.890018,35.525051,Completed,Completed,Ac_112,"Elie Ribz Bldg, 4th floor, towards Aantabli",Achrafieh,TARA
BwS2,Beb w Shebek,Shelter,,,AC-01/1,,,Referred,Referred,Ac_112,"Bank Byblos, Next To MTV Building",Achrafieh,
BwS3,Beb w Shebek,Shelter,,,AC-02,33.895130,35.527054,Completed,Completed,Re_934,Rmeil,Rmeil,ADRIA
BwS4,Beb w Shebek,Shelter,,,AC-03,,,Referred,Referred,,"Geitawi Building Chamoun facing Jesuite Garden, building gate between Jesuite Taxi and L’Objet shop. 3rd floor. Interphone: Jihad Medawar",Achrafieh,
BwS5,Beb w Shebek,Shelter,,,AC-04,33.890028,35.513490,Completed,Completed,Ac_1171,"achrafieh furn el hayek, haddad bldg, above la menagerie, in front of bread republic, 1st floor",Achrafieh,TARA
BwS6,Beb w Shebek,Shelter,,,AC-05,,,Referred,Referred,,Next To MTV Building,Achrafieh,HAYA
BwS7,Beb w Shebek,Shelter,,,AC-06,33.894680,35.520058,Completed,Completed,Re_476,5th and 6th floor ashrafieh rmeil salah labake street dagher bldg,Achrafieh,MARIANA
BwS8,Beb w Shebek,Shelter,,,AC-07,,,Referred,Referred,,"sayde street, facing pharmacy sayde",Achrafieh,
BwS9,Beb w Shebek,Shelter,,,AC-08,33.890083,35.525589,Completed,Completed,Ac_7,"Moutran Street, Ghoufrayel Facing mini market Matar & sois saj - 2nd floor",Achrafieh,JOEY
BwS10,Beb w Shebek,Shelter,,,AC-09,33.890018,35.525051,Completed,Completed,Ac_112,"Elie Ribz Bldg, 3rd floor, towards Aantabli",Achrafieh,TARA
BwS11,Beb w Shebek,Shelter,,,AC-09/1,33.890018,35.525051,Referred,Referred,Ac_112,"Elie Ribz Bldg, 5th floor, towards Aantabli",Achrafieh,GATSELERIA
