OML UID,Entity / Source,Survey Type,Status,Assignee,Neighborhood,Zone,Building condition,Lat,Long,Address,Building Entrance | مدخل البناية,Building Door Entrance | باب المدخل البناية,Water Collection | خزان تجميع المياه,Water Pump | مضخات مياه,Water Distribution Tank | خزان توزيع مياه,Water Main Supply | امدادات رئيسية للمياه,Electricity Room | غرفة الكهرباء,Electricity Main Supply | امدادات الكهرباء الرئيسية,Sanitation Main Supply | إمدادات الصرف الصحي الرئيسية,Sanitation Winter Water | مياه الشتاء,Building Glasses | زجاج المبنى,Building HandRail | درابزين المبنى,Building Balcony | برندات المبنى,Building Exterior | تلبيس المبنى,Building Structure Damage | جسم المبنى,Building Surface Isolation | عزل المبنى,Building Roof | سطح المبنى,,,,,,,,Damaged Doors,,Supplier UID,Survey Date,,,,,,,,,,,,,,,,,,,,,,,,,
FE1,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.891657,35.532464,65,Minor | طفيف,Minor | طفيف,,,,,,,,,,,,,Minor | طفيف,,,,,,,,,,6,,116808636,2020-08-17T18:36:32.706+03:00,,,,,,,,,,,,,,,,,,,,,,,,,Shelter
FE2,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.891643,35.532471,65,Minor | طفيف,Minor | طفيف,,,,,,,,,Minor | طفيف,Minor | طفيف,Minor | طفيف,,Minor | طفيف,,,,,,,,,,3,,116807566,2020-08-17T18:29:35.855+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE3,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.89164,35.53247,65,Minor | طفيف,Minor | طفيف,,,,,,,,,Minor | طفيف,Minor | طفيف,Minor | طفيف,,Minor | طفيف,,,,,,,,,,8,,116806009,2020-08-17T18:04:48.567+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE4,Frontline Engineers,Shelter,Unknown,,,,,33.89327,35.533197,15.175999641418457,,,,,,,,,,,,,,,,,,,,,,,,,1,,116218069,2020-08-14T11:02:16.573+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE5,Frontline Engineers,Shelter,Unknown,,,,"Heavy Damage, Evacuation needed repairs should be done as soon as possible ",33.89153,35.515527,1,Major | كبير,Major | كبير,Severe | شديد,Major | كبير,Major | كبير,Major | كبير,Major | كبير,Major | كبير,Major | كبير,Major | كبير,Major | كبير,Severe | شديد,Severe | شديد,Minor | طفيف,Major | كبير,Minor | طفيف,Minor | طفيف,,,,,,,,,,116574126,2020-08-16T15:16:48.740+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE6,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.888947,35.532707,10.418999671936035,Minor | طفيف,,,,,,,,,,Severe | شديد,,,,,,,,,,,,,,,,116069463,2020-08-13T14:49:20.106+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE7,Frontline Engineers,Shelter,Unknown,,,,"No Damage, No evacuation",33.892595,35.532779,300,,,,,,,,,,,,,,,,,,,,,,,,,2,,116213276,2020-08-14T10:08:43.270+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE8,Frontline Engineers,Shelter,Unknown,,,,,,,,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Major | كبير,Minor | طفيف,Minor | طفيف,,,Major | كبير,Major | كبير,Major | كبير,,Major | كبير,Severe | شديد,Severe | شديد,,,,,,,,,,115027327,2020-08-07T15:14:00.970+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE9,Frontline Engineers,Shelter,Unknown,,,,,,,,Severe | شديد,Severe | شديد,Severe | شديد,Severe | شديد,Severe | شديد,Severe | شديد,Severe | شديد,Severe | شديد,Severe | شديد,Severe | شديد,Severe | شديد,Severe | شديد,Severe | شديد,Severe | شديد,Severe | شديد,Severe | شديد,Severe | شديد,,,,,,,,,,115038399,2020-08-07T15:47:32.303+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE10,Frontline Engineers,Shelter,Unknown,,,,,,,,Major | كبير,Severe | شديد,Major | كبير,Major | كبير,Severe | شديد,Severe | شديد,,Major | كبير,Severe | شديد,Severe | شديد,Severe | شديد,Severe | شديد,Major | كبير,Major | كبير,Minor | طفيف,Major | كبير,Major | كبير,,,,,,,,,,115043027,2020-08-07T16:47:00.305+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE11,Frontline Engineers,Shelter,Unknown,,,,,,,,Major | كبير,Minor | طفيف,Severe | شديد,Severe | شديد,Severe | شديد,Severe | شديد,Minor | طفيف,Major | كبير,Major | كبير,Severe | شديد,Severe | شديد,Severe | شديد,Severe | شديد,Major | كبير,Major | كبير,Major | كبير,Severe | شديد,,,,,,,,,,115043225,2020-08-07T16:28:33.103+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE12,Frontline Engineers,Shelter,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115048231,2020-08-07T17:26:07.992+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE13,Frontline Engineers,Shelter,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115048233,2020-08-07T17:26:10.655+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE14,Frontline Engineers,Shelter,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115133567,2020-08-08T12:56:18.054+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE15,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.894347,35.524783,65,Major | كبير,Minor | طفيف,,,,,,,,,Severe | شديد,,Minor | طفيف,,Minor | طفيف,,Minor | طفيف,,,,,,,,5,,115138628,2020-08-08T13:20:31.768+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE16,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",,,,Major | كبير,Major | كبير,Major | كبير,,Major | كبير,Major | كبير,,Minor | طفيف,Minor | طفيف,,Severe | شديد,Major | كبير,Major | كبير,Minor | طفيف,Minor | طفيف,Minor | طفيف,Major | كبير,,,,,,,,,,115153751,2020-08-08T15:45:02.909+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE17,Frontline Engineers,Shelter,Unknown,,,,"Major damage, Evacuation needed for the Building and the Building nearby",33.894392,35.520297,65,,,,,,,,,,,Severe | شديد,,,Severe | شديد,Major | كبير,,Severe | شديد,,,,,,,,,,115153787,2020-08-08T13:39:29.954+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE18,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",,,,Major | كبير,Major | كبير,Severe | شديد,Major | كبير,Major | كبير,Major | كبير,Major | كبير,Major | كبير,Minor | طفيف,Minor | طفيف,Severe | شديد,Major | كبير,Minor | طفيف,Minor | طفيف,Major | كبير,Major | كبير,Major | كبير,,,,,,,,,,115168183,2020-08-08T17:23:14.506+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE19,Frontline Engineers,Shelter,Unknown,,,,"Heavy Damage, Evacuation needed repairs should be done as soon as possible ",33.89456,35.519267,0,Severe | شديد,Severe | شديد,,,,,,,,,Severe | شديد,,,Major | كبير,Severe | شديد,,Severe | شديد,,,,,,,,,,115255416,2020-08-09T12:45:13.681+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE20,Frontline Engineers,Shelter,Unknown,,,,,33.894957,35.52004,52.400001525878906,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Major | كبير,Major | كبير,Minor | طفيف,Severe | شديد,Severe | شديد,Severe | شديد,Major | كبير,Major | كبير,Major | كبير,Severe | شديد,,,,,,,,,,115401321,2020-08-10T13:32:22.113+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE21,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.895023,35.519499,77.5999984741211,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Severe | شديد,Severe | شديد,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,,,,,,,,Yes,,115404852,2020-08-10T14:02:56.731+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE22,Frontline Engineers,Shelter,Unknown,,,,"Moderate Damage, repair needs to be done, No evacuation",33.895561,35.520616,71.74298288218388,Minor | طفيف,Minor | طفيف,Minor | طفيف,Major | كبير,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Major | كبير,Severe | شديد,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,Minor | طفيف,,,,,,,,6,,115418709,2020-08-10T14:41:57.485+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
FE23,Frontline Engineers,Shelter,Unknown,,,,"Heavy Damage, Evacuation needed repairs should be done as soon as possible ",,,,,Severe | شديد,,,Severe | شديد,Severe | شديد,Severe | شديد,,,,Severe | شديد,,,Major | كبير,Severe | شديد,,,,,,,,,,Front vitrina all glass,,115461833,2020-08-10T17:12:55.578+03:00,,,,,,,,,,,,,,,,,,,,,,,,,
