OML UID,Entity / Source,Survey Type,Status,Assignee,Supplier UID,Neighborhood,Zone,Lat,Long,Surveyed by,Survey Date
LRC1,Lebanese Red Cross,MSNA,Unknown,,pQw0H,Beirut Central District,1,33.905615,35.506075,LRC,8/21/2020
LRC2,Lebanese Red Cross,MSNA,Unknown,,HvW1d,Marfa' foncière,2,33.896893,35.50527,partner_other,9/13/2020
LRC3,Lebanese Red Cross,MSNA,Unknown,,p6qri,Marfa' foncière,2,33.896893,35.50527,partner_other,9/3/2020
LRC4,Lebanese Red Cross,MSNA,Unknown,,QvXwg,Bachoura foncière,3,33.89375224,35.5047147,partner_other,9/13/2020
LRC5,Lebanese Red Cross,MSNA,Unknown,,R/8g9,Bachoura foncière,3,33.89375224,35.5047147,partner_other,9/10/2020
LRC6,Lebanese Red Cross,MSNA,Unknown,,hcaHr,Bachoura foncière,3,33.89375224,35.5047147,partner_other,9/10/2020
LRC7,Lebanese Red Cross,MSNA,Unknown,,VYLQM,Bachoura foncière,3,33.89375224,35.5047147,partner_other,9/10/2020
LRC8,Lebanese Red Cross,MSNA,Unknown,,ko3P1,Bachoura foncière,3,33.89375224,35.5047147,partner_other,9/9/2020
LRC9,Lebanese Red Cross,MSNA,Unknown,,mfi3Z,Bachoura foncière,3,33.89375224,35.5047147,partner_other,9/8/2020
LRC10,Lebanese Red Cross,MSNA,Unknown,,xVVXZ,Bachoura foncière,3,33.89375224,35.5047147,partner_other,9/8/2020
LRC11,Lebanese Red Cross,MSNA,Unknown,,oBtVh,Bachoura foncière,3,33.89375224,35.5047147,partner_other,9/4/2020
LRC12,Lebanese Red Cross,MSNA,Unknown,,PkwYL,Bachoura foncière,3,33.89375224,35.5047147,partner_other,9/4/2020
LRC13,Lebanese Red Cross,MSNA,Unknown,,I2Aya,Bachoura foncière,3,33.89375224,35.5047147,partner_other,9/3/2020
LRC14,Lebanese Red Cross,MSNA,Unknown,,CpdKr,Bachoura foncière,3,33.89375224,35.5047147,partner_other,9/3/2020
LRC15,Lebanese Red Cross,MSNA,Unknown,,lz+AH,Bachoura foncière,3,33.89375224,35.5047147,partner_other,9/2/2020
LRC16,Lebanese Red Cross,MSNA,Unknown,,lDm47,Bachoura foncière,3,33.89375224,35.5047147,partner_other,9/2/2020
LRC17,Lebanese Red Cross,MSNA,Unknown,,6co5p,Bachoura foncière,3,33.89375224,35.5047147,partner_other,9/1/2020
LRC18,Lebanese Red Cross,MSNA,Unknown,,yjDMi,Marfa' foncière,4,33.89939813,35.51537992,partner_other,9/9/2020
LRC19,Lebanese Red Cross,MSNA,Unknown,,nNZOq,Mdaouar foncière,6,33.90273044,35.53190394,partner_other,9/4/2020
LRC20,Lebanese Red Cross,MSNA,Unknown,,3j+Al,Mdaouar foncière,6,33.90273044,35.53190394,partner_other,9/4/2020
LRC21,Lebanese Red Cross,MSNA,Unknown,,UW2Qw,Mdaouar foncière,6,33.90273044,35.53190394,partner_other,9/4/2020
LRC22,Lebanese Red Cross,MSNA,Unknown,,sIklc,Mdaouar foncière,6,33.90273044,35.53190394,partner_other,9/4/2020
LRC23,Lebanese Red Cross,MSNA,Unknown,,Xd+hu,Mdaouar foncière,6,33.90273044,35.53190394,partner_other,9/3/2020
LRC24,Lebanese Red Cross,MSNA,Unknown,,J3lAF,Mdaouar foncière,6,33.90273044,35.53190394,partner_other,9/3/2020
LRC25,Lebanese Red Cross,MSNA,Unknown,,xqEPd,Mdaouar foncière,6,33.90273044,35.53190394,partner_other,9/3/2020
LRC26,Lebanese Red Cross,MSNA,Unknown,,FfUCy,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/11/2020
LRC27,Lebanese Red Cross,MSNA,Unknown,,zrxnH,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/11/2020
LRC28,Lebanese Red Cross,MSNA,Unknown,,3XTts,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/11/2020
LRC29,Lebanese Red Cross,MSNA,Unknown,,pmM0Z,Mdaouar foncière,7,33.90109715,35.53268285,Save the Children,9/11/2020
LRC30,Lebanese Red Cross,MSNA,Unknown,,DLKrH,Mdaouar foncière,7,33.90109715,35.53268285,Save the Children,9/11/2020
LRC31,Lebanese Red Cross,MSNA,Unknown,,eUc7p,Mdaouar foncière,7,33.90109715,35.53268285,Save the Children,9/11/2020
LRC32,Lebanese Red Cross,MSNA,Unknown,,hmvfY,Mdaouar foncière,7,33.90109715,35.53268285,Save the Children,9/11/2020
LRC33,Lebanese Red Cross,MSNA,Unknown,,yi2/g,Mdaouar foncière,7,33.90109715,35.53268285,Save the Children,9/11/2020
LRC34,Lebanese Red Cross,MSNA,Unknown,,nZ9c2,Mdaouar foncière,7,33.90109715,35.53268285,Save the Children,9/11/2020
LRC35,Lebanese Red Cross,MSNA,Unknown,,pxphC,Mdaouar foncière,7,33.90109715,35.53268285,Save the Children,9/11/2020
LRC36,Lebanese Red Cross,MSNA,Unknown,,8qR7g,Mdaouar foncière,7,33.90109715,35.53268285,Save the Children,9/11/2020
LRC37,Lebanese Red Cross,MSNA,Unknown,,CUi9v,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/11/2020
LRC38,Lebanese Red Cross,MSNA,Unknown,,cUw9M,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/10/2020
LRC39,Lebanese Red Cross,MSNA,Unknown,,vURii,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/10/2020
LRC40,Lebanese Red Cross,MSNA,Unknown,,yz1K0,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/10/2020
LRC41,Lebanese Red Cross,MSNA,Unknown,,qc0Wz,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/10/2020
LRC42,Lebanese Red Cross,MSNA,Unknown,,ZxgcQ,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/10/2020
LRC43,Lebanese Red Cross,MSNA,Unknown,,KNZNf,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/10/2020
LRC44,Lebanese Red Cross,MSNA,Unknown,,lBnuC,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/10/2020
LRC45,Lebanese Red Cross,MSNA,Unknown,,vT5Qi,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/10/2020
LRC46,Lebanese Red Cross,MSNA,Unknown,,KTnSK,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/10/2020
LRC47,Lebanese Red Cross,MSNA,Unknown,,HWGcr,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/10/2020
LRC48,Lebanese Red Cross,MSNA,Unknown,,3vBwD,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/10/2020
LRC49,Lebanese Red Cross,MSNA,Unknown,,siU/y,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/10/2020
LRC50,Lebanese Red Cross,MSNA,Unknown,,AK9fM,Mdaouar foncière,7,33.90109715,35.53268285,Save the Children,9/10/2020
LRC51,Lebanese Red Cross,MSNA,Unknown,,Y3NGQ,Mdaouar foncière,7,33.90109715,35.53268285,Save the Children,9/10/2020
LRC52,Lebanese Red Cross,MSNA,Unknown,,ftSA+,Mdaouar foncière,7,33.90109715,35.53268285,Save the Children,9/10/2020
LRC53,Lebanese Red Cross,MSNA,Unknown,,t276a,Mdaouar foncière,7,33.90109715,35.53268285,Save the Children,9/10/2020
LRC54,Lebanese Red Cross,MSNA,Unknown,,WpUCj,Mdaouar foncière,7,33.90109715,35.53268285,Save the Children,9/10/2020
LRC55,Lebanese Red Cross,MSNA,Unknown,,bMIgJ,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/10/2020
LRC56,Lebanese Red Cross,MSNA,Unknown,,H6kMN,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/10/2020
LRC57,Lebanese Red Cross,MSNA,Unknown,,pcC/s,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/9/2020
LRC58,Lebanese Red Cross,MSNA,Unknown,,aQmue,Mdaouar foncière,7,33.90109715,35.53268285,LRC,9/9/2020
LRC59,Lebanese Red Cross,MSNA,Unknown,,5pW58,Mdaouar foncière,7,33.90109715,35.53268285,Concern,9/9/2020
LRC60,Lebanese Red Cross,MSNA,Unknown,,Mnokc,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/9/2020
LRC61,Lebanese Red Cross,MSNA,Unknown,,hla8l,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/9/2020
LRC62,Lebanese Red Cross,MSNA,Unknown,,fhurs,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/9/2020
LRC63,Lebanese Red Cross,MSNA,Unknown,,q+O++,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/9/2020
LRC64,Lebanese Red Cross,MSNA,Unknown,,ROau4,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/9/2020
LRC65,Lebanese Red Cross,MSNA,Unknown,,jgFnX,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/9/2020
LRC66,Lebanese Red Cross,MSNA,Unknown,,+ubtk,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/9/2020
LRC67,Lebanese Red Cross,MSNA,Unknown,,MYLQJ,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/9/2020
LRC68,Lebanese Red Cross,MSNA,Unknown,,EVjpK,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/9/2020
LRC69,Lebanese Red Cross,MSNA,Unknown,,Vcn3O,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/9/2020
LRC70,Lebanese Red Cross,MSNA,Unknown,,RezG6,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/9/2020
LRC71,Lebanese Red Cross,MSNA,Unknown,,GR6o4,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/9/2020
LRC72,Lebanese Red Cross,MSNA,Unknown,,WcWq3,Mdaouar foncière,7,33.90109715,35.53268285,Save the Children,9/9/2020
LRC73,Lebanese Red Cross,MSNA,Unknown,,TnmXb,Mdaouar foncière,7,33.90109715,35.53268285,Save the Children,9/9/2020
LRC74,Lebanese Red Cross,MSNA,Unknown,,/WGlD,Mdaouar foncière,7,33.90109715,35.53268285,Save the Children,9/9/2020
LRC75,Lebanese Red Cross,MSNA,Unknown,,WPl7T,Mdaouar foncière,7,33.90109715,35.53268285,Save the Children,9/9/2020
LRC76,Lebanese Red Cross,MSNA,Unknown,,Mv6/1,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/9/2020
LRC77,Lebanese Red Cross,MSNA,Unknown,,rS2bd,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/9/2020
LRC78,Lebanese Red Cross,MSNA,Unknown,,MJLTc,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/9/2020
LRC79,Lebanese Red Cross,MSNA,Unknown,,4z3CD,Mdaouar foncière,7,33.90109715,35.53268285,Unicef,9/9/2020
LRC80,Lebanese Red Cross,MSNA,Unknown,,zpjHg,Mdaouar foncière,7,33.90109715,35.53268285,Unicef,9/9/2020
LRC81,Lebanese Red Cross,MSNA,Unknown,,IgMuT,Mdaouar foncière,7,33.90109715,35.53268285,Save the Children,9/8/2020
LRC82,Lebanese Red Cross,MSNA,Unknown,,bRVLO,Mdaouar foncière,7,33.90109715,35.53268285,Save the Children,9/8/2020
LRC83,Lebanese Red Cross,MSNA,Unknown,,TM4NJ,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/8/2020
LRC84,Lebanese Red Cross,MSNA,Unknown,,/582A,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/8/2020
LRC85,Lebanese Red Cross,MSNA,Unknown,,z2OY/,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/8/2020
LRC86,Lebanese Red Cross,MSNA,Unknown,,QdiVe,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/8/2020
LRC87,Lebanese Red Cross,MSNA,Unknown,,chM2l,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/8/2020
LRC88,Lebanese Red Cross,MSNA,Unknown,,0KtCl,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/8/2020
LRC89,Lebanese Red Cross,MSNA,Unknown,,KUZCl,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/8/2020
LRC90,Lebanese Red Cross,MSNA,Unknown,,5U2df,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/8/2020
LRC91,Lebanese Red Cross,MSNA,Unknown,,G/q3C,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/8/2020
LRC92,Lebanese Red Cross,MSNA,Unknown,,IbI49,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/8/2020
LRC93,Lebanese Red Cross,MSNA,Unknown,,UStmM,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/7/2020
LRC94,Lebanese Red Cross,MSNA,Unknown,,GuLeI,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/7/2020
LRC95,Lebanese Red Cross,MSNA,Unknown,,ul26c,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/7/2020
LRC96,Lebanese Red Cross,MSNA,Unknown,,u7Bhz,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/7/2020
LRC97,Lebanese Red Cross,MSNA,Unknown,,4IUYq,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/7/2020
LRC98,Lebanese Red Cross,MSNA,Unknown,,VGiHJ,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/7/2020
LRC99,Lebanese Red Cross,MSNA,Unknown,,4F+AR,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/4/2020
LRC100,Lebanese Red Cross,MSNA,Unknown,,Igaut,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/4/2020
LRC101,Lebanese Red Cross,MSNA,Unknown,,vy9sC,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/4/2020
LRC102,Lebanese Red Cross,MSNA,Unknown,,iNwTK,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/4/2020
LRC103,Lebanese Red Cross,MSNA,Unknown,,g9f42,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/4/2020
LRC104,Lebanese Red Cross,MSNA,Unknown,,HG6oZ,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/4/2020
LRC105,Lebanese Red Cross,MSNA,Unknown,,w1c9e,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/4/2020
LRC106,Lebanese Red Cross,MSNA,Unknown,,ZV43E,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/4/2020
LRC107,Lebanese Red Cross,MSNA,Unknown,,baHsW,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/4/2020
LRC108,Lebanese Red Cross,MSNA,Unknown,,E7fhO,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/4/2020
LRC109,Lebanese Red Cross,MSNA,Unknown,,y8iVD,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/4/2020
LRC110,Lebanese Red Cross,MSNA,Unknown,,0FA+w,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/3/2020
LRC111,Lebanese Red Cross,MSNA,Unknown,,QWUW9,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/3/2020
LRC112,Lebanese Red Cross,MSNA,Unknown,,wFqNg,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/3/2020
LRC113,Lebanese Red Cross,MSNA,Unknown,,FpdmE,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/3/2020
LRC114,Lebanese Red Cross,MSNA,Unknown,,8+dQM,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/3/2020
LRC115,Lebanese Red Cross,MSNA,Unknown,,FEIHz,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/3/2020
LRC116,Lebanese Red Cross,MSNA,Unknown,,jukkf,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/3/2020
LRC117,Lebanese Red Cross,MSNA,Unknown,,x/fNp,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/3/2020
LRC118,Lebanese Red Cross,MSNA,Unknown,,tDfRq,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/3/2020
LRC119,Lebanese Red Cross,MSNA,Unknown,,XBU6h,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/3/2020
LRC120,Lebanese Red Cross,MSNA,Unknown,,Wwmak,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/2/2020
LRC121,Lebanese Red Cross,MSNA,Unknown,,gilhr,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/2/2020
LRC122,Lebanese Red Cross,MSNA,Unknown,,yULmg,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/2/2020
LRC123,Lebanese Red Cross,MSNA,Unknown,,sCTm9,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/2/2020
LRC124,Lebanese Red Cross,MSNA,Unknown,,sJE3F,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/2/2020
LRC125,Lebanese Red Cross,MSNA,Unknown,,ZqAPE,Mdaouar foncière,7,33.90109715,35.53268285,partner_other,9/2/2020
LRC126,Lebanese Red Cross,MSNA,Unknown,,/YILg,Mdaouar foncière,7,33.90109715,35.53268285,Save the Children,9/2/2020
LRC127,Lebanese Red Cross,MSNA,Unknown,,LG64l,Mdaouar foncière,7,33.90109715,35.53268285,Save the Children,9/2/2020
LRC128,Lebanese Red Cross,MSNA,Unknown,,ghdNN,Mdaouar foncière,7,33.90109715,35.53268285,Save the Children,9/2/2020
LRC129,Lebanese Red Cross,MSNA,Unknown,,WkZ+Y,Mdaouar foncière,7,33.90109715,35.53268285,Save the Children,9/2/2020
LRC130,Lebanese Red Cross,MSNA,Unknown,,ZpRnu,Mdaouar foncière,7,33.90109715,35.53268285,Save the Children,9/2/2020
LRC131,Lebanese Red Cross,MSNA,Unknown,,a2LUp,Mdaouar foncière,7,33.90109715,35.53268285,Save the Children,9/2/2020
