OML UID,Entity / Source,Survey Type,Status,Assignee,Lat,Long,Neighborhood,Zone,#REF!
NK1,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK2,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK3,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK4,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK5,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK6,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK7,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK8,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK9,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK10,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK11,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK12,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK13,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK14,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK15,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK16,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK17,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK18,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK19,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK20,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK21,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK22,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK23,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK24,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK25,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK26,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK27,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK28,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK29,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK30,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK31,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK32,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK33,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK34,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK35,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK36,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK37,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK38,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK39,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK40,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK41,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK42,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK43,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK44,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK45,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK46,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK47,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK48,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK49,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK50,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
NK51,Nakaba Tantafid,Shelter,Unknown,,No Lat,No Long,,,#REF!
