OML UID,Entity / Source,Survey Type,Status,Assignee,Neighborhood,Zone,Supplier UID,Survey Date,Lat,Long
RB1,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054455742,2020-08-07 10:10:49,,
RB2,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054486362,2020-08-07 10:24:24,,
RB3,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054544022,2020-08-07 10:49:32,,
RB4,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054634492,2020-08-07 11:28:07,,
RB5,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054642742,2020-08-07 11:31:28,,
RB6,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054649502,2020-08-07 11:34:15,,
RB7,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054657982,2020-08-07 11:37:26,,
RB8,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054667742,2020-08-07 11:41:20,,
RB9,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054669342,2020-08-07 11:41:53,,
RB10,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054676622,2020-08-07 11:44:47,,
RB11,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054681112,2020-08-07 11:46:42,,
RB12,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054682312,2020-08-07 11:47:14,,
RB13,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054686092,2020-08-07 11:48:48,,
RB14,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054686252,2020-08-07 11:48:53,,
RB15,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054690302,2020-08-07 11:50:35,,
RB16,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054690522,2020-08-07 11:50:43,,
RB17,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054696232,2020-08-07 11:53:08,,
RB18,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054702942,2020-08-07 11:55:50,,
RB19,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054704262,2020-08-07 11:56:24,,
RB20,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054708372,2020-08-07 11:58:12,,
RB21,Rebuild Beirut,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,387416:1054710152,2020-08-07 11:58:52,,
