OML UID,Entity / Source,Survey Type,Status,Assignee,Survey Date,Zone,Neighborhood حي,Building Exterior Assessment التقييم الخارجي للمبنى,Lat,Long,Supplier UID
VC1,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,64,Sioufi السيوفي,Needs Repair يحتاج إصلاح,33.88,35.52,116804839
VC2,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,45,Other آخر,Good جيد,33.889215,35.5245096,116771717
VC3,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,62,Sioufi السيوفي,Good جيد,33.882357,35.522761,116771654
VC4,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,64,Sioufi السيوفي,Good جيد,33.88,35.52,116793973
VC5,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,,Sioufi السيوفي,Good جيد,33.88,35.52,116799916
VC6,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,,Sioufi السيوفي,Good جيد,33.882357,35.522761,116773306
VC7,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,62,Sioufi السيوفي,Good جيد,33.882357,35.522761,116775735
VC8,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,64,Sioufi السيوفي,Good جيد,33.88,35.52,116807606
VC9,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,979,Sioufi السيوفي,Good جيد,33.88,35.52,116809645
VC10,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,64,Sioufi السيوفي,Good جيد,33.88,35.52,116797270
VC11,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-17,62,Sioufi السيوفي,Good جيد,33.882233,35.523,116777878
VC12,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,61,Ghabi غابي,Good جيد,33.888,35.752,116937808
VC13,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-18,45,Rmeil الرميل,Needs Repair يحتاج إصلاح,33.8901863,35.524923,116904687
VC14,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,62,Sioufi السيوفي,Needs Repair يحتاج إصلاح,33.88403,35.525783,116073823
VC15,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,49,Mar Mitr مار متر,Good جيد,33.891454,35.516124,116072198
VC16,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,42,Rmeil الرميل,Needs Repair يحتاج إصلاح,33.89085,35.532294,116071991
VC17,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,43,Karm el Zeitoun كرم الزيتون,Good جيد,33.888278,35.526644,116070385
VC18,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,44,Rmeil الرميل,Good جيد,33.891749,35.523457,116068460
VC19,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,49,Mar Mitr مار متر,Good جيد,33.891322,35.516018,116067750
VC20,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,43,Karm el Zeitoun كرم الزيتون,Needs Repair يحتاج إصلاح,33.888426,35.527391,116066892
VC21,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,45,Mar Mitr مار متر,Needs Repair يحتاج إصلاح,33.8892367,35.5210287,116065506
VC22,The Volunteer Circle,"Food Security, Household, Basic Assistance, Healthcare, Shelter & WASH, Psychological & Social Support",Unknown,,2020-08-13,42,Rmeil الرميل,Good جيد,33.890854,35.53223,116065470
