OML UID,Entity / Source,Survey Type,Status,Assignee,Neighborhood,Zone,Lat,Long,House damage,Personal impact,Intensity
MS1,MySay,Psychological & Social Support,Unknown,,,,33.95472031,35.616555,I don't have a house in Beirut,None of the above,1::I did not feel it / I was not affected by any damage as a result of the explosion
MS2,MySay,Psychological & Social Support,Unknown,,,,33.88374111,35.49897194,Some damage,Relocation,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS3,MySay,Psychological & Social Support,Unknown,,,,33.37412851,35.48497029,I don't have a house in Beirut,None of the above,1::I did not feel it / I was not affected by any damage as a result of the explosion
MS4,MySay,Psychological & Social Support,Unknown,,,,33.88634184,35.48320055,Some damage,None of the above,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS5,MySay,Psychological & Social Support,Unknown,,,,33.89058546,35.49418732,Some damage,None of the above,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS6,MySay,Psychological & Social Support,Unknown,,,,33.89132775,35.50050271,No,None of the above,"6::Strong / I was very scared, a large part of the furniture was smashed"
MS7,MySay,Psychological & Social Support,Unknown,,,,33.93609809,35.6203483,Some damage,Relocation,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS8,MySay,Psychological & Social Support,Unknown,,,,33.11975409,35.36628084,No,None of the above,1::I did not feel it / I was not affected by any damage as a result of the explosion
MS9,MySay,Psychological & Social Support,Unknown,,,,33.8933369,35.51003975,Some damage,None of the above,
MS10,MySay,Psychological & Social Support,Unknown,,,,34.39599019,35.92029194,I don't have a house in Beirut,None of the above,1::I did not feel it / I was not affected by any damage as a result of the explosion
MS11,MySay,Psychological & Social Support,Unknown,,,,33.81953649,35.79769377,I don't have a house in Beirut,None of the above,1::I did not feel it / I was not affected by any damage as a result of the explosion
MS12,MySay,Psychological & Social Support,Unknown,,,,33.89592469,35.4792738,No,None of the above,"5::Moderate / the building shook, resulting in glass and dishes shattering, wall clocks stopped, and some paintings fell"
MS13,MySay,Psychological & Social Support,Unknown,,,,33.89441312,35.50607697,No,None of the above,1::I did not feel it / I was not affected by any damage as a result of the explosion
