OML UID,Entity / Source,Survey Type,Status,Assignee,Neighborhood,Zone,Lat,Long,Plot Number,Unit Type,Supplier UID,Survey Date,Damage Level
NS1,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unit Assessed,,,,33.895307,35.520725,1233,apartment,5941f14a-9eba-47a0-bbbd-ccaa066f5487,2020-08-15T12:35:17,Major Damage
NS2,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unit Assessed,,,,33.895333,35.520873,1233,apartment,45bd5187-192c-42f5-8719-bf6617a4bdac,2020-08-15T14:00:35,Minor Damage
NS3,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unit Assessed,,,,33.893697,35.528548,9034,apartment,1df00765-3e42-43b5-b861-14583894629f,2020-08-15T15:16:13,Minor Damage
NS4,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unit Assessed,,,,33.893566,35.528302,9033,apartment,342a802b-da6e-42e0-92aa-58fcbedc8069,2020-08-15T15:38:46,Major Damage
NS5,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unit Assessed,,,,33.893972,35.493988,1867,apartment,,,Minor Damage
NS6,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unit Assessed,,,,33.893794,35.49454,1819,apartment,,,Minor Damage
NS7,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unit Assessed,,,,33.894006,35.494691,1819,apartment,,,Minor Damage
NS8,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unit Assessed,,,,33.893442,35.494071,1885,other,,,Minor Damage
NS9,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unit Assessed,,,,33.893449,35.494092,1885,other,,,Minor Damage
NS10,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unit Assessed,,,,33.893404,35.494026,1883,apartment,,,Minor Damage
NS11,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unit Assessed,,,,33.893688,35.49428,1843,apartment,,,Minor Damage
NS12,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unit Assessed,,,,33.89,35.49,,other,,,Minor Damage
NS13,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unit Assessed,,,,33.894163,35.494967,,apartment,,,Moderate Damage
NS14,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unit Assessed,,,,33.89435,35.495194,,apartment,,,Moderate Damage
NS15,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unit Assessed,,,,33.89338,35.494082,,shop,,,Minor Damage
NS16,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unit Assessed,,,,33.893849,35.493907,,apartment,,,Minor Damage
NS17,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS18,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS19,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS20,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS21,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS22,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS23,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS24,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS25,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS26,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS27,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS28,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS29,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS30,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS31,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS32,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS33,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS34,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS35,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS36,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS37,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS38,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS39,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS40,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS41,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS42,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
NS43,Nusaned,"Basic Assistance, Shelter, WASH, Livelihood, Household",Unknown,,,,,,,,,,
